Title,URL,Last Updated,Summary,Text_For_Model,Assigned_Department
The North Sea Marine Protected Areas Fishing Gear Byelaw 2024,https://www.gov.uk/government/publications/the-north-sea-marine-protected-areas-fishing-gear-byelaw-2024,9 June 2025,MMO is proposing management measures for offshore marine protected areas (MPAs) in the North Sea region.,The North Sea Marine Protected Areas Fishing Gear Byelaw 2024 MMO is proposing management measures for offshore marine protected areas (MPAs) in the North Sea region.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
UK National North Sea Cod Avoidance Plan,https://www.gov.uk/government/publications/uk-national-north-sea-cod-avoidance-plan,21 January 2025,UK National North Sea Cod Avoidance Plan,UK National North Sea Cod Avoidance Plan UK National North Sea Cod Avoidance Plan,"{""bart"": ""Conservative team"", ""roberta"": ""FMT""}"
European Maritime and Fisheries Fund (EMFF): apply for funding,https://www.gov.uk/guidance/european-maritime-and-fisheries-fund-emff-apply-for-funding,14 January 2025,Apply for European Maritime and Fisheries Funds (EMFF) and download guidance documents and application forms.,European Maritime and Fisheries Fund (EMFF): apply for funding Apply for European Maritime and Fisheries Funds (EMFF) and download guidance documents and application forms.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Generating energy offshore,https://www.gov.uk/guidance/generating-energy-offshore,18 September 2014,Information about generating energy offshore,Generating energy offshore Information about generating energy offshore,"{""bart"": ""Marine Licensing"", ""roberta"": ""Funding""}"
I-VMS licence condition requirements for under-12 metre fishing vessels registered in England,https://www.gov.uk/guidance/i-vms-licence-condition-requirements-for-under-12-metre-fishing-vessels-registered-in-england,25 September 2025,Guidance explaining the operational requirements for Inshore Vessel Monitoring Systems (I-VMS) under the fishing licence condition.,I-VMS licence condition requirements for under-12 metre fishing vessels registered in England Guidance explaining the operational requirements for Inshore Vessel Monitoring Systems (I-VMS) under the fishing licence condition.,"{""bart"": ""IVMS"", ""roberta"": ""Funding""}"
Contact the marine planning team at the MMO,https://www.gov.uk/government/publications/contact-the-marine-planning-team-at-the-mmo,29 August 2025,Specific regional contact details for marine planning officers at the Marine Management Organisation (MMO),Contact the marine planning team at the MMO Specific regional contact details for marine planning officers at the Marine Management Organisation (MMO),"{""bart"": ""Marine Planning"", ""roberta"": ""Planning Team""}"
Delegated Marine Enforcement powers for Inshore Fisheries and Conservation Officers,https://www.gov.uk/government/publications/delegated-marine-enforcement-officer-powers-for-inshore-fisheries-conservation-officers,10 March 2020,EU restrictions and enforceable EU obligations relating to sea fishing,Delegated Marine Enforcement powers for Inshore Fisheries and Conservation Officers EU restrictions and enforceable EU obligations relating to sea fishing,"{""bart"": ""Compliance"", ""roberta"": ""Conservative team""}"
How to manually report electronic logbook reports (e-logs),https://www.gov.uk/government/publications/how-to-manually-report-electronic-logbook-reports,5 April 2017,Information that must be sent manually to the UK Fisheries Call Centre if your electronic logbook software system fails.,How to manually report electronic logbook reports (e-logs) Information that must be sent manually to the UK Fisheries Call Centre if your electronic logbook software system fails.,"{""bart"": ""Stats"", ""roberta"": ""FDST""}"
Land's End and Cape Bank European Marine Site (Specified Areas) Bottom Towed Gear Byelaw,https://www.gov.uk/government/publications/lands-end-and-cape-bank-european-marine-site-specified-areas-bottom-towed-gear-byelaw,11 June 2014,"The byelaw for bottom towed fishing gear, including an impact assessment and charts.","Land's End and Cape Bank European Marine Site (Specified Areas) Bottom Towed Gear Byelaw The byelaw for bottom towed fishing gear, including an impact assessment and charts.","{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Manage your fishing effort: Cod in ICES area VIId,https://www.gov.uk/government/publications/manage-your-fishing-effort-cod-in-ices-area-viid,15 December 2021,Information on the cod long-term plan and landing obligation.,Manage your fishing effort: Cod in ICES area VIId Information on the cod long-term plan and landing obligation.,"{""bart"": ""Stats"", ""roberta"": ""Stats""}"
Marine Planning Monitoring Surveys 2023 Summary,https://www.gov.uk/government/publications/marine-planning-monitoring-surveys-2023-summary,16 February 2024,"Surveys were run between 9th May to 30th June 2023 for the North East, North West, East, South, South East, and South West Marine Plans.","Marine Planning Monitoring Surveys 2023 Summary Surveys were run between 9th May to 30th June 2023 for the North East, North West, East, South, South East, and South West Marine Plans.","{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
"Recovery of abandoned, lost and discarded fishing gear",https://www.gov.uk/government/publications/recovery-of-abandoned-lost-and-discarded-fishing-gear,17 April 2018,"Guidance for divers who wish to remove abandoned, lost and discarded fishing gear (ALDFG).","Recovery of abandoned, lost and discarded fishing gear Guidance for divers who wish to remove abandoned, lost and discarded fishing gear (ALDFG).","{""bart"": ""OMT"", ""roberta"": ""Funding""}"
An approach to seascape sensitivity assessment (MMO1204),https://www.gov.uk/government/publications/seascapes-methodology-mmo1204,15 July 2020,"A project to create a methodology for stakeholders to consider Seascapes quality, value and capacity to accommodate change","An approach to seascape sensitivity assessment (MMO1204) A project to create a methodology for stakeholders to consider Seascapes quality, value and capacity to accommodate change","{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
The Margate and Long Sands European Marine Site (Specified Areas) Bottom Towed Fishing Gear Byelaw 2017,https://www.gov.uk/government/publications/the-margate-and-long-sands-european-marine-site-specified-areas-bottom-towed-fishing-gear-byelaw,27 February 2018,The Margate and Long Sands European Marine Site is off the east coast of England.,The Margate and Long Sands European Marine Site (Specified Areas) Bottom Towed Fishing Gear Byelaw 2017 The Margate and Long Sands European Marine Site is off the east coast of England.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
The South Dorset Marine Conservation Zone (Specified Area) Bottom Towed Fishing Gear Byelaw 2022,https://www.gov.uk/government/publications/the-south-dorset-marine-conservation-zone-specified-area-bottom-towed-fishing-gear-byelaw-2022,13 April 2022,The South Dorset MCZ is located approximately 17.5 km south of St Albans Head.,The South Dorset Marine Conservation Zone (Specified Area) Bottom Towed Fishing Gear Byelaw 2022 The South Dorset MCZ is located approximately 17.5 km south of St Albans Head.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Vessel monitoring system devices,https://www.gov.uk/government/publications/vessel-monitoring-system-devices,1 January 2021,"Details of skipper responsibilities, device specification and requirements, VMS+ guidance, and reports.","Vessel monitoring system devices Details of skipper responsibilities, device specification and requirements, VMS+ guidance, and reports.","{""bart"": ""OMT"", ""roberta"": ""FDST""}"
West of Walney Marine Conservation Zone (Specified Area) Bottom Towed Fishing Byelaw 2018,https://www.gov.uk/government/publications/west-of-walney-marine-conservation-zone-specified-area-bottom-towed-fishing-byelaw,15 September 2020,The West of Walney Marine Conservation Zone is off the North West coast of England.,West of Walney Marine Conservation Zone (Specified Area) Bottom Towed Fishing Byelaw 2018 The West of Walney Marine Conservation Zone is off the North West coast of England.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Bluefin (BFT) by-catch rules within the commercial fishery,https://www.gov.uk/guidance/bluefin-bft-by-catch-rules-within-the-commercial-fishery,28 March 2024,Bluefin (BFT) by-catch rules within the commercial fishery.,Bluefin (BFT) by-catch rules within the commercial fishery Bluefin (BFT) by-catch rules within the commercial fishery.,"{""bart"": ""Stats"", ""roberta"": ""Funding""}"
European Maritime and Fisheries Fund (EMFF): before you apply,https://www.gov.uk/guidance/european-maritime-and-fisheries-fund-emff-before-you-apply,11 March 2025,Information about the available funding from the European Maritime and Fisheries Fund (EMFF) scheme,European Maritime and Fisheries Fund (EMFF): before you apply Information about the available funding from the European Maritime and Fisheries Fund (EMFF) scheme,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Have your say and help MMO improve the Marine Planning and Licensing Service,https://www.gov.uk/guidance/have-your-say-and-help-mmo-improve-the-marine-planning-and-licensing-service,23 May 2025,This page is dedicated to live MMO surveys relating to Marine Planning and Marine Licensing services. Further information and links to live surveys can be found below.,Have your say and help MMO improve the Marine Planning and Licensing Service This page is dedicated to live MMO surveys relating to Marine Planning and Marine Licensing services. Further information and links to live surveys can be found below.,"{""bart"": ""Marine Planning"", ""roberta"": ""Funding""}"
2021 - I-VMS type approval programme (archived),https://www.gov.uk/guidance/i-vms-type-approval-programme,22 August 2023,"MMO conducted a programme to assess  and identify devices to meet technical specifications for reporting of location, heading and speed by under 12m fishing vessels.","2021 - I-VMS type approval programme (archived) MMO conducted a programme to assess  and identify devices to meet technical specifications for reporting of location, heading and speed by under 12m fishing vessels.","{""bart"": ""IVMS"", ""roberta"": ""IVMS""}"
Marine Planning newsletters,https://www.gov.uk/guidance/marine-planning-newsletters,4 September 2025,This series brings together all newsletters from the MMO's Marine Planning team,Marine Planning newsletters This series brings together all newsletters from the MMO's Marine Planning team,"{""bart"": ""Comms"", ""roberta"": ""Comms""}"
Plans for the 2024 Bluefin tuna (BFT) catch and release recreational fisheries,https://www.gov.uk/guidance/plans-for-the-2024-bluefin-tuna-bft-catch-and-release-recreational-fisheries,21 July 2025,New legislation (The Sea Fisheries (International Commission for the Conservation of Atlantic Tunas) (Amendment) (No. 2) Regulations 2024)  will make it a criminal offence for any recreational fishing vessel to target BFT in the UK without a permit.,Plans for the 2024 Bluefin tuna (BFT) catch and release recreational fisheries New legislation (The Sea Fisheries (International Commission for the Conservation of Atlantic Tunas) (Amendment) (No. 2) Regulations 2024)  will make it a criminal offence for any recreational fishing vessel to target BFT in the UK without a permit.,"{""bart"": ""Compliance"", ""roberta"": ""Funding""}"
Quota management in the non-sector <10m and >10m pools,https://www.gov.uk/guidance/quota-management-in-the-non-sector-10m-and-10m-pools,10 March 2021,Vessels that do not have their quota managed by a Producer Organisation are managed by the Marine Management Organisation via catch limits.,Quota management in the non-sector <10m and >10m pools Vessels that do not have their quota managed by a Producer Organisation are managed by the Marine Management Organisation via catch limits.,"{""bart"": ""FMT"", ""roberta"": ""FMT""}"
Regional Fisheries Groups - South East 4c,https://www.gov.uk/guidance/regional-fisheries-groups-south-east-4c,27 November 2023,The region covers Mablethorpe to Hythe.,Regional Fisheries Groups - South East 4c The region covers Mablethorpe to Hythe.,"{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
"Video help files for fish export service, catch certificates and processing statements",https://www.gov.uk/guidance/video-help-files-for-fish-export-service-catch-certificates-and-processing-statements,6 December 2021,"Video help files for fish export service, catch certificates and processing statements","Video help files for fish export service, catch certificates and processing statements Video help files for fish export service, catch certificates and processing statements","{""bart"": ""Stats"", ""roberta"": ""IIU""}"
Corrections - UK and foreign vessels landings by UK port and UK vessel landings abroad: Provisional data Jan – Aug 2024,https://www.gov.uk/government/publications/2024-uk-and-foreign-vessels-landings-by-uk-port-and-uk-vessel-landings-abroad-provisional-data,25 October 2024,UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data.,Corrections - UK and foreign vessels landings by UK port and UK vessel landings abroad: Provisional data Jan – Aug 2024 UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data.,"{""bart"": ""Stats"", ""roberta"": ""Funding""}"
Delegation of functions relating to marine plans,https://www.gov.uk/government/publications/delegation-of-functions-relating-to-marine-plans,11 June 2014,"The Secretary of State for Environment, Food and Rural Affairs delegated marine planning functions to MMO in 2010.","Delegation of functions relating to marine plans The Secretary of State for Environment, Food and Rural Affairs delegated marine planning functions to MMO in 2010.","{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
"Haisborough, Hammond and Winterton European Marine Site (Specified Areas) Bottom Towed Fishing Gear Byelaw",https://www.gov.uk/government/publications/haisborough-hammond-and-winterton-european-marine-site-specified-areas-bottom-towed-fishing-gear-byelaw,11 June 2014,"The byelaw for bottom towed fishing gear, including an impact assessment and charts.","Haisborough, Hammond and Winterton European Marine Site (Specified Areas) Bottom Towed Fishing Gear Byelaw The byelaw for bottom towed fishing gear, including an impact assessment and charts.","{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Issues with Supporting Evidence’ final report,https://www.gov.uk/government/publications/issues-with-supporting-evidence-final-report,9 April 2025, Issues with Supporting Evidence’ final report.,Issues with Supporting Evidence’ final report  Issues with Supporting Evidence’ final report.,"{""bart"": ""Marine Planning"", ""roberta"": ""Funding""}"
Landing Obligation 2019 - Rules and regulations,https://www.gov.uk/government/publications/landing-obligation-2019-rules-and-regulations,2 December 2019,The full Landing Obligation (discards ban) comes into force on 1 January 2019.,Landing Obligation 2019 - Rules and regulations The full Landing Obligation (discards ban) comes into force on 1 January 2019.,"{""bart"": ""FMT"", ""roberta"": ""FMT""}"
Mapping Sea Angling (MMO1163),https://www.gov.uk/government/publications/mapping-sea-angling-mmo1163,25 August 2020,A project to develop a robust spatial map of where sea angling commonly occurs in the English marine area.,Mapping Sea Angling (MMO1163) A project to develop a robust spatial map of where sea angling commonly occurs in the English marine area.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Marine Planning Monitoring Surveys 2025 Summary,https://www.gov.uk/government/publications/marine-planning-monitoring-surveys-2025-summary,31 July 2025,The Marine Planning Monitoring Surveys ran from 11 November 2024 to 27 January 2025 and was developed to gain insights into the use of marine plans and the real-world effects that they may be having.,Marine Planning Monitoring Surveys 2025 Summary The Marine Planning Monitoring Surveys ran from 11 November 2024 to 27 January 2025 and was developed to gain insights into the use of marine plans and the real-world effects that they may be having.,"{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Marine Pollution Contingency Plan,https://www.gov.uk/government/publications/marine-pollution-contingency-plan,27 September 2023,The plan summarises procedures the Marine Management Organisation follows in a marine pollution incident.,Marine Pollution Contingency Plan The plan summarises procedures the Marine Management Organisation follows in a marine pollution incident.,"{""bart"": ""IVMS"", ""roberta"": ""OMT""}"
Marine protected areas - Stage 3 impacts evidence,https://www.gov.uk/government/publications/marine-protected-areas-stage-3-impacts-evidence,14 August 2023,Draft fishing gear impacts evidence documents for stage 3 marine protected areas (MPAs). Stage 3 will seek to assess and manage impacts of fishing on the 43 remaining MPAs with seabed features not already covered in stage 1 or stage 2.,Marine protected areas - Stage 3 impacts evidence Draft fishing gear impacts evidence documents for stage 3 marine protected areas (MPAs). Stage 3 will seek to assess and manage impacts of fishing on the 43 remaining MPAs with seabed features not already covered in stage 1 or stage 2.,"{""bart"": ""Conservative team"", ""roberta"": ""Funding""}"
Validating the Origin of Capture of fish {MMO1167} {MMO1191} {MMO1192} (MMO1193} {MMO1194},https://www.gov.uk/government/publications/origin-of-capture-of-fish-investigating-the-use-of-genetic-testing-mmo1167-mmo1191-mmo1192-mmo1193-mmo1194,6 March 2020,"The Marine Management Organisation’s (MMO) sought an assessment of methods for confirming where fish sold ashore were originally caught. Four technique classes were identified as promising by the MMO including stable isotopes, lipids, trace elements and genetics.","Validating the Origin of Capture of fish {MMO1167} {MMO1191} {MMO1192} (MMO1193} {MMO1194} The Marine Management Organisation’s (MMO) sought an assessment of methods for confirming where fish sold ashore were originally caught. Four technique classes were identified as promising by the MMO including stable isotopes, lipids, trace elements and genetics.","{""bart"": ""Global Marine Team"", ""roberta"": ""Stats""}"
Pelagic landing obligation 2016: Guidance,https://www.gov.uk/government/publications/pelagic-landing-obligation,31 January 2017,"Which fish come under the landing obligation, what you have to do with them on board and which you can sell for human consumption.","Pelagic landing obligation 2016: Guidance Which fish come under the landing obligation, what you have to do with them on board and which you can sell for human consumption.","{""bart"": ""Stats"", ""roberta"": ""FMT""}"
Public Inquiry – Port of London Harbour Revision Order application,https://www.gov.uk/government/publications/public-inquiry-port-of-london-harbour-revision-order-application,19 December 2024,A public inquiry will be held to consider the application by the Port of London Authority for a harbour revision order.,Public Inquiry – Port of London Harbour Revision Order application A public inquiry will be held to consider the application by the Port of London Authority for a harbour revision order.,"{""bart"": ""IVMS"", ""roberta"": ""Funding""}"
Social baseline data for Marine Planning (MMO1132),https://www.gov.uk/government/publications/social-baseline-data-for-marine-planning-mmo1132,5 November 2019,A project to improve baseline social information and to collect additional new information to support marine plans,Social baseline data for Marine Planning (MMO1132) A project to improve baseline social information and to collect additional new information to support marine plans,"{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Stage 3 MPAs Independent Scientific Panel Review Report,https://www.gov.uk/government/publications/stage-3-mpas-independent-scientific-panel-review-report,9 June 2025,MMO commissioned an Independent Scientific Panel review of its Stage 3 marine protected areas (MPA) impacts evidence documents and a sample of the Stage 3 MPAs site assessments.,Stage 3 MPAs Independent Scientific Panel Review Report MMO commissioned an Independent Scientific Panel review of its Stage 3 marine protected areas (MPA) impacts evidence documents and a sample of the Stage 3 MPAs site assessments.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Technical Conservation 2019 - Rules and regulations,https://www.gov.uk/government/publications/technical-conservation-2019-rules-and-regulations,13 August 2019,The new ‘tech con’ regulation 2019/1241 repeals Council Regulation 850/98 and some other current Commission Regulations. See Technical Measure background and area specific guidance documents below.,Technical Conservation 2019 - Rules and regulations The new ‘tech con’ regulation 2019/1241 repeals Council Regulation 850/98 and some other current Commission Regulations. See Technical Measure background and area specific guidance documents below.,"{""bart"": ""Marine Planning"", ""roberta"": ""Funding""}"
The Eastern Channel Marine Protected Areas Fishing Gear Byelaw 2024,https://www.gov.uk/government/publications/the-eastern-channel-marine-protected-areas-fishing-gear-byelaw-2024,9 June 2025,MMO is proposing management measures for offshore marine protected areas (MPAs) in The Eastern Channel region.,The Eastern Channel Marine Protected Areas Fishing Gear Byelaw 2024 MMO is proposing management measures for offshore marine protected areas (MPAs) in The Eastern Channel region.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
UK Spurdog guidance,https://www.gov.uk/government/publications/uk-spurdog-guidance,27 March 2023,Guidance on the pending changes relating to Spurdog catches and information on discarding specimens over 100cms.,UK Spurdog guidance Guidance on the pending changes relating to Spurdog catches and information on discarding specimens over 100cms.,"{""bart"": ""FDST"", ""roberta"": ""FMT""}"
Undulate Ray commercial bycatch,https://www.gov.uk/government/publications/undulate-ray-commercial-bycatch,29 December 2015,The European Commission granted the UK and other member states specific quotas for undulate ray in 2015.,Undulate Ray commercial bycatch The European Commission granted the UK and other member states specific quotas for undulate ray in 2015.,"{""bart"": ""SIA"", ""roberta"": ""SIA""}"
Fish Producer Organisation (PO) compliance guidance,https://www.gov.uk/government/publications/updated-fish-producer-organisation-po-compliance-checks,7 April 2021,Guidance to assist PO's in ensuring on going compliance with the conditions for recognition,Fish Producer Organisation (PO) compliance guidance Guidance to assist PO's in ensuring on going compliance with the conditions for recognition,"{""bart"": ""FVL"", ""roberta"": ""SIA""}"
Apply for a scientific research dispensation,https://www.gov.uk/guidance/apply-for-a-scientific-research-dispensation,9 August 2022,How to apply for a fisheries dispensation from UK laws to carry out scientific research from a fishing vessel in English waters.,Apply for a scientific research dispensation How to apply for a fisheries dispensation from UK laws to carry out scientific research from a fishing vessel in English waters.,"{""bart"": ""Stats"", ""roberta"": ""Funding""}"
Developing the East Inshore and East Offshore marine plan areas,https://www.gov.uk/guidance/east-inshore-and-east-offshore-marine-plan-areas,9 March 2015,Details of how the first English marine plans were developed following the marine planning stepped process.,Developing the East Inshore and East Offshore marine plan areas Details of how the first English marine plans were developed following the marine planning stepped process.,"{""bart"": ""Marine Planning"", ""roberta"": ""OMT""}"
European Maritime and Fisheries Fund (EMFF): successful applicants,https://www.gov.uk/guidance/european-maritime-and-fisheries-fund-emff-successful-applicants,4 February 2025,The actions you need to take and project management procedures you need to complete on success of your application.,European Maritime and Fisheries Fund (EMFF): successful applicants The actions you need to take and project management procedures you need to complete on success of your application.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Fisheries and Seafood Scheme – Guidance for pollack fishers,https://www.gov.uk/guidance/fisheries-and-seafood-scheme-guidance-for-pollock-fishers,10 June 2024,The Fisheries and Seafood Scheme (FaSS) offers a range of options which may support pollack fishers impacted by recent fisheries negotiations.,Fisheries and Seafood Scheme – Guidance for pollack fishers The Fisheries and Seafood Scheme (FaSS) offers a range of options which may support pollack fishers impacted by recent fisheries negotiations.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Harbour Empowerment Orders (HEO) (works),https://www.gov.uk/guidance/harbour-empowerment-orders-heo-works,16 December 2021, Documents to provide on application for Harbour Empowerment Orders (HEO) (works),Harbour Empowerment Orders (HEO) (works)  Documents to provide on application for Harbour Empowerment Orders (HEO) (works),"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Harbour Empowerment Orders  (HEO) (non-works),https://www.gov.uk/guidance/harbour-empowerment-orders-non-works,16 December 2021,Documents to provide on application for Harbour Empowerment Orders (HEO),Harbour Empowerment Orders  (HEO) (non-works) Documents to provide on application for Harbour Empowerment Orders (HEO),"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Harbour Revision Orders (HROs) (works),https://www.gov.uk/guidance/harbour-revision-orders-hros-works,16 December 2021,Documents to provide on application Harbour Revision Orders (HROs) (works),Harbour Revision Orders (HROs) (works) Documents to provide on application Harbour Revision Orders (HROs) (works),"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Mandatory pre-application process (for works Orders only),https://www.gov.uk/guidance/mandatory-pre-application-process-for-works-orders-only,16 December 2021,These steps must be carried out before you submit your formal application.,Mandatory pre-application process (for works Orders only) These steps must be carried out before you submit your formal application.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Maritime and Fisheries Fund (MFF): before you apply,https://www.gov.uk/guidance/maritime-and-fisheries-fund-mff-before-you-apply,22 February 2021,Information about the available funding from the Maritime and Fisheries Fund (MFF) scheme,Maritime and Fisheries Fund (MFF): before you apply Information about the available funding from the Maritime and Fisheries Fund (MFF) scheme,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Maritime and Fisheries Fund (MFF): successful applicants,https://www.gov.uk/guidance/maritime-and-fisheries-fund-mff-successful-applicants,11 December 2023,The actions you need to take and project management procedures you need to complete on success of your application.,Maritime and Fisheries Fund (MFF): successful applicants The actions you need to take and project management procedures you need to complete on success of your application.,"{""bart"": ""Funding"", ""roberta"": ""Conservative team""}"
Regional Fisheries Groups – North West 7a,https://www.gov.uk/guidance/regional-fisheries-groups-north-west-7a,29 April 2025,This area covers English territorial waters in the Northwest of England between the Scottish and West borders.,Regional Fisheries Groups – North West 7a This area covers English territorial waters in the Northwest of England between the Scottish and West borders.,"{""bart"": ""Stats"", ""roberta"": ""Marine Planning""}"
Regional Fisheries Groups - South 7d,https://www.gov.uk/guidance/regional-fisheries-groups-south-7d,11 October 2024,The region covers Dungeness to Swanage.,Regional Fisheries Groups - South 7d The region covers Dungeness to Swanage.,"{""bart"": ""Stats"", ""roberta"": ""Marine Planning""}"
Seafood Response Fund,https://www.gov.uk/guidance/seafood-response-fund,30 March 2021,Information about the Seafood Response Fund.,Seafood Response Fund Information about the Seafood Response Fund.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
UK Northern Albacore Tuna Fishery 2025 - Expression of Interest Guidance,https://www.gov.uk/guidance/uk-northern-albacore-tuna-fishery-2025-expression-of-interest-guidance,5 March 2025,UK Northern Albacore Tuna Fishery 2025 - Expression of Interest Guidance.,UK Northern Albacore Tuna Fishery 2025 - Expression of Interest Guidance UK Northern Albacore Tuna Fishery 2025 - Expression of Interest Guidance.,"{""bart"": ""Stats"", ""roberta"": ""Marine Planning""}"
Marine Licensing Monitoring Policy,https://www.gov.uk/government/publications/marine-licensing-monitoring-policy,3 May 2019,The MMO monitors marine licence activities to ensure compliance with the conditions of a licence.,Marine Licensing Monitoring Policy The MMO monitors marine licence activities to ensure compliance with the conditions of a licence.,"{""bart"": ""Compliance"", ""roberta"": ""FMT""}"
Technical Conservation and Landing Obligation rules and regulations 2021,https://www.gov.uk/government/publications/technical-conservation-and-landing-obligation-rules-and-regulations-2021,21 July 2021,"Guidance on the technical conservation and landing obligation (discard ban) regulations for 2021. Including how the rules apply, selling undersize fish, reporting requirements and quota management.","Technical Conservation and Landing Obligation rules and regulations 2021 Guidance on the technical conservation and landing obligation (discard ban) regulations for 2021. Including how the rules apply, selling undersize fish, reporting requirements and quota management.","{""bart"": ""FMT"", ""roberta"": ""FMT""}"
Quota Leasing Scheme - January 2024,https://www.gov.uk/government/publications/quota-leasing-scheme,11 January 2024,There is anticipated to be excess quota in the non-sector pools. In order to make the best use of this quota and to ensure opportunities are available to as many vessels as possible. Marine Management Organisation (MMO) is taking the following action for English vessels.,Quota Leasing Scheme - January 2024 There is anticipated to be excess quota in the non-sector pools. In order to make the best use of this quota and to ensure opportunities are available to as many vessels as possible. Marine Management Organisation (MMO) is taking the following action for English vessels.,"{""bart"": ""Stats"", ""roberta"": ""Funding""}"
RFG Newsletters Summer 2023,https://www.gov.uk/government/publications/rfg-newsletters-summer-2023,30 June 2023,Summer 2023 edition of the RFG newsletters.,RFG Newsletters Summer 2023 Summer 2023 edition of the RFG newsletters.,"{""bart"": ""Funding"", ""roberta"": ""Comms""}"
Points for Masters,https://www.gov.uk/government/publications/points-for-masters,10 May 2024,The following documents below provides guidance for the MMO’s ‘Point’s for Masters’ public register.,Points for Masters The following documents below provides guidance for the MMO’s ‘Point’s for Masters’ public register.,"{""bart"": ""Marine Planning"", ""roberta"": ""Comms""}"
Revised statements of public participation - South West,https://www.gov.uk/government/publications/revised-statements-of-public-participation-south-west,10 January 2020,Revised statements of public participation - South West,Revised statements of public participation - South West Revised statements of public participation - South West,"{""bart"": ""Marine Planning"", ""roberta"": ""FDST""}"
RFG Newsletters Winter 2024,https://www.gov.uk/government/publications/rfg-newsletters-winter-2024,9 February 2024,Winter 2024 edition of the RFG newsletters.,RFG Newsletters Winter 2024 Winter 2024 edition of the RFG newsletters.,"{""bart"": ""Funding"", ""roberta"": ""Comms""}"
European Maritime and Fisheries Fund (EMFF): UK Managing Authority (UKMA),https://www.gov.uk/guidance/european-maritime-and-fisheries-fund-emff-uk-managing-authority-ukma,21 September 2023,Learn about how the UK Managing Authority (UKMA) manage the European Maritime and Fisheries Fund (EMFF).,European Maritime and Fisheries Fund (EMFF): UK Managing Authority (UKMA) Learn about how the UK Managing Authority (UKMA) manage the European Maritime and Fisheries Fund (EMFF).,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
January 2024 Catch Limit Review,https://www.gov.uk/government/publications/january-2024-catch-limit-review,27 December 2023,January 2024 Catch Limit Review,January 2024 Catch Limit Review January 2024 Catch Limit Review,"{""bart"": ""Stats"", ""roberta"": ""Funding""}"
2021 UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data,https://www.gov.uk/government/publications/uk-and-foreign-vessels-landings-by-uk-port-and-uk-vessel-landings-abroad-provisional-data,29 April 2022,UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data,2021 UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data,"{""bart"": ""Stats"", ""roberta"": ""Stats""}"
Single area licensing rules,https://www.gov.uk/government/publications/single-area-licencing-rules,24 September 2021,"The MMO is harmonising rules in relation to beam trawling for sole in 7e, which currently only apply to UK beam trawlers.","Single area licensing rules The MMO is harmonising rules in relation to beam trawling for sole in 7e, which currently only apply to UK beam trawlers.","{""bart"": ""SIA"", ""roberta"": ""Funding""}"
Domestic Seafood Supply Scheme (DSSS): how to apply for project funding,https://www.gov.uk/guidance/domestic-seafood-supply-scheme-dsss-how-to-apply-for-project-funding,12 June 2020,Guidance on how to apply for the Domestic Seafood Supply Scheme (DSSS) and download application form.,Domestic Seafood Supply Scheme (DSSS): how to apply for project funding Guidance on how to apply for the Domestic Seafood Supply Scheme (DSSS) and download application form.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
